customer_id,recency,frequency,monetary,tenure,aov,avg_inter_purchase_time,target_revenue,dataset_type
1,210,4,197.8,435,49.45,75.0,0.0,train
2,28,5,310.85,433,62.17,101.25,74.19,train
3,1,14,1274.68,380,91.04857142857144,29.153846153846153,90.42,train
4,90,5,187.93,414,37.586,81.0,0.0,train
5,71,3,89.72,294,29.906666666666666,111.5,33.3,train
7,72,2,104.12,293,52.06,221.0,50.18,train
8,50,7,360.06,428,51.43714285714286,63.0,0.0,train
9,1,59,16074.18,458,272.44372881355935,7.879310344827586,1970.74,train
10,47,14,1584.08,420,113.14857142857143,28.692307692307693,263.25,train
11,12,12,1036.71,386,86.3925,34.0,230.93,train
12,154,2,133.11,452,66.555,298.0,0.0,train
13,109,4,270.11,342,67.5275,77.66666666666667,0.0,train
14,20,12,1333.85,457,111.15416666666665,39.72727272727273,93.25,train
15,38,21,1824.17,436,86.8652380952381,19.9,88.59,train
16,16,4,275.56,349,68.89,111.0,0.0,train
17,88,7,152.96,459,21.851428571428574,61.833333333333336,0.0,train
18,8,18,4421.93,413,245.6627777777778,23.823529411764707,1153.31,train
19,4,45,9536.87,429,211.93044444444448,9.659090909090908,2235.01,train
20,390,2,129.66000000000003,448,64.83000000000001,58.0,0.0,train
21,14,8,632.8,211,79.1,28.142857142857142,325.64,train
22,2,55,8736.96,458,158.85381818181816,8.444444444444445,994.87,train
23,12,7,1130.43,434,161.49,70.33333333333333,149.37,train
24,12,32,2474.92,459,77.34125,14.419354838709678,854.67,train
25,6,43,6602.67,438,153.55046511627907,10.285714285714286,1774.98,train
26,350,3,172.36,446,57.45333333333334,48.0,168.29,train
27,125,2,123.38,234,61.69,109.0,0.0,train
28,1,53,9559.22,458,180.36264150943396,8.788461538461538,1757.83,train
29,40,14,1209.48,454,86.39142857142858,31.846153846153847,0.0,train
30,31,8,223.9,389,27.9875,51.142857142857146,0.0,train
31,299,2,119.55,407,59.775,108.0,0.0,train
32,182,2,71.01,410,35.505,228.0,0.0,train
33,8,2,81.48,181,40.74,173.0,64.5,train
34,20,15,1513.1200000000001,453,100.87466666666667,30.928571428571427,289.99,train
35,381,1,88.07,381,88.07,0.0,0.0,train
36,0,33,7604.1900000000005,420,230.43,13.125,2443.71,train
37,64,5,241.76999999999998,407,48.354,85.75,0.0,train
38,364,1,63.61,364,63.61,0.0,0.0,train
39,6,48,10393.1,442,216.52291666666667,9.27659574468085,1581.66,train
40,1,16,1866.58,455,116.66125,30.266666666666666,634.26,train
41,53,14,1368.27,444,97.73357142857142,30.076923076923077,288.83,train
42,51,8,393.59000000000003,412,49.198750000000004,51.57142857142857,0.0,train
43,6,31,6240.23,434,201.29774193548386,14.266666666666667,642.16,train
44,0,65,16053.84,452,246.98215384615384,7.0625,2563.02,train
45,49,7,620.29,421,88.61285714285714,62.0,168.0,train
46,34,6,654.96,443,109.16000000000001,81.8,191.4,train
47,9,53,13458.07,455,253.92584905660377,8.576923076923077,3066.96,train
48,50,9,538.94,271,59.882222222222225,27.625,72.42,train
49,1,29,5493.23,438,189.42172413793102,15.607142857142858,1371.04,train
50,76,4,447.84000000000003,339,111.96000000000001,87.66666666666667,193.37,train
51,437,1,46.2,437,46.2,0.0,41.39,train
52,3,13,1641.72,392,126.28615384615385,32.416666666666664,0.0,train
53,0,45,10315.38,412,229.23066666666665,9.363636363636363,2269.25,train
54,320,5,370.46000000000004,454,74.09200000000001,33.5,0.0,train
55,39,3,190.63,444,63.54333333333333,202.5,199.14999999999998,train
56,167,7,192.06,443,27.437142857142856,46.0,29.41,train
57,54,4,307.83000000000004,211,76.95750000000001,52.333333333333336,134.95,train
58,16,9,1434.37,413,159.37444444444444,49.625,285.95,train
59,13,9,878.84,444,97.64888888888889,53.875,106.84,train
60,18,16,1080.96,383,67.56,24.333333333333332,158.48000000000002,train
61,37,22,2250.01,448,102.27318181818183,19.571428571428573,102.43,train
62,132,4,314.24,321,78.56,63.0,50.69,train
63,87,4,149.79,276,37.4475,63.0,0.0,train
64,12,7,402.64,433,57.519999999999996,70.16666666666667,93.79,train
